S7,3246,UGC,DME,2024-01-01 00:05:00 UTC,2024-01-01 03:50:00 UTC
S7,5229,OVB,IKT,2024-01-01 00:05:00 UTC,2024-01-01 02:35:00 UTC
S7,3774,DWC,DME,2024-01-01 00:05:00 UTC,2024-01-01 05:55:00 UTC
S7,1132,UFA,DME,2024-01-01 00:15:00 UTC,2024-01-01 02:35:00 UTC
S7,5327,OVB,NJC,2024-01-01 00:20:00 UTC,2024-01-01 01:50:00 UTC
S7,5358,TLK,OVB,2024-01-01 00:25:00 UTC,2024-01-01 03:30:00 UTC
S7,5246,NER,OVB,2024-01-01 00:30:00 UTC,2024-01-01 04:25:00 UTC
S7,2594,ABA,DME,2024-01-01 00:40:00 UTC,2024-01-01 05:50:00 UTC
S7,3236,ASB,DME,2024-01-01 00:50:00 UTC,2024-01-01 04:50:00 UTC
S7,5216,BTK,OVB,2024-01-01 00:55:00 UTC,2024-01-01 03:05:00 UTC
S7,2566,OMS,DME,2024-01-01 00:55:00 UTC,2024-01-01 04:35:00 UTC
S7,3046,HTA,DME,2024-01-01 01:00:00 UTC,2024-01-01 08:10:00 UTC
S7,2602,BAX,DME,2024-01-01 01:05:00 UTC,2024-01-01 05:40:00 UTC
S7,1172,SVX,DME,2024-01-01 01:05:00 UTC,2024-01-01 03:50:00 UTC
S7,1142,CEK,DME,2024-01-01 01:05:00 UTC,2024-01-01 03:50:00 UTC
S7,2606,KEJ,DME,2024-01-01 01:10:00 UTC,2024-01-01 05:50:00 UTC
S7,5361,OVB,NOZ,2024-01-01 01:10:00 UTC,2024-01-01 02:05:00 UTC
S7,6370,TLK,IKT,2024-01-01 01:15:00 UTC,2024-01-01 03:05:00 UTC
S7,5319,OVB,HMA,2024-01-01 01:15:00 UTC,2024-01-01 03:10:00 UTC
S7,2616,TOF,DME,2024-01-01 01:15:00 UTC,2024-01-01 05:50:00 UTC
S7,5317,OVB,KEJ,2024-01-01 01:20:00 UTC,2024-01-01 02:10:00 UTC
S7,5105,OVB,AER,2024-01-01 01:25:00 UTC,2024-01-01 06:45:00 UTC
S7,5785,OVB,DXB,2024-01-01 01:30:00 UTC,2024-01-01 07:50:00 UTC
S7,1160,PEE,DME,2024-01-01 01:30:00 UTC,2024-01-01 03:55:00 UTC
S7,3034,UUD,DME,2024-01-01 01:30:00 UTC,2024-01-01 08:15:00 UTC
S7,2504,OVB,DME,2024-01-01 01:35:00 UTC,2024-01-01 06:10:00 UTC
S7,3042,BTK,DME,2024-01-01 01:35:00 UTC,2024-01-01 07:30:00 UTC
S7,3018,IKT,DME,2024-01-01 01:35:00 UTC,2024-01-01 08:05:00 UTC
S7,5242,MJZ,OVB,2024-01-01 01:40:00 UTC,2024-01-01 04:50:00 UTC
S7,6347,IKT,AER,2024-01-01 01:40:00 UTC,2024-01-01 08:55:00 UTC
S7,3260,OSS,DME,2024-01-01 01:45:00 UTC,2024-01-01 06:30:00 UTC
